category,base_text,perturbed_text,description,syllables_base,syllables_perturbed,tokens_base,tokens_perturbed,syllable_delta,token_delta,pair_id
subjunctive,Dann prüfen Sie: können Sie die Verstöße wie bisher gut an Chefs melden?,Dann prüfen Sie: könnten Sie die Verstöße wie bisher gut an Chefs melden?,Indikativ -> Konjunktiv II (könnten),23,23,13,13,0,0,35
subjunctive,Oft konnten KiTas Fachkräfte nicht gut einteilen.,Oft könnten KiTas Fachkräfte nicht gut einteilen.,Indikativ -> Konjunktiv II (könnten),15,15,7,7,0,0,36
subjunctive,Dann brauchen Sie ein Formular.,Dann bräuchten Sie ein Formular.,Indikativ -> Konjunktiv II (bräuchten),11,11,5,5,0,0,37
subjunctive,"Sie dürfen Handy, Smartphone oder Laptop nutzen.","Sie dürften Handy, Smartphone oder Laptop nutzen.",Indikativ -> Konjunktiv II (dürften),15,15,7,7,0,0,38
subjunctive,Das müssen Sie sofort dem Personal mitteilen.,Das müssten Sie sofort dem Personal mitteilen.,Indikativ -> Konjunktiv II (müssten),15,15,7,7,0,0,39
subjunctive,Sie können die Geldstrafe an jedem Tag zahlen.,Sie könnten die Geldstrafe an jedem Tag zahlen.,Indikativ -> Konjunktiv II (könnten),15,15,8,8,0,0,40
subjunctive,Das können Schäden an Körper oder Psyche sein.,Das könnten Schäden an Körper oder Psyche sein.,Indikativ -> Konjunktiv II (könnten),14,14,8,8,0,0,41
subjunctive,Und Sie müssen für das Essen bezahlen.,Und Sie müssten für das Essen bezahlen.,Indikativ -> Konjunktiv II (müssten),12,12,7,7,0,0,42
subjunctive,Sie müssen dafür spezielle Telefone nutzen.,Sie müssten dafür spezielle Telefone nutzen.,Indikativ -> Konjunktiv II (müssten),16,16,6,6,0,0,43
subjunctive,Ihre Eltern dürfen zu Besuch kommen.,Ihre Eltern dürften zu Besuch kommen.,Indikativ -> Konjunktiv II (dürften),11,11,6,6,0,0,44
subjunctive,Parteien dürfen das Blatt nur zur Information ihrer Mitglieder nutzen.,Parteien dürften das Blatt nur zur Information ihrer Mitglieder nutzen.,Indikativ -> Konjunktiv II (dürften),23,23,10,10,0,0,45
subjunctive,Untergebrachte Personen dürfen Briefe schreiben und bekommen.,Untergebrachte Personen dürften Briefe schreiben und bekommen.,Indikativ -> Konjunktiv II (dürften),20,20,7,7,0,0,46
subjunctive,Sie wollen einen christlichen Seelsorger sprechen?,Sie wollten einen christlichen Seelsorger sprechen?,Indikativ -> Konjunktiv II (wollten),16,16,6,6,0,0,47
subjunctive,"Gebühr: 75 Cent je halbe Stunde, Gebühren müssen das ganze Jahr und zu jeder Tageszeit gezahlt werden.","Gebühr: 75 Cent je halbe Stunde, Gebühren müssten das ganze Jahr und zu jeder Tageszeit gezahlt werden.",Indikativ -> Konjunktiv II (müssten),29,29,17,17,0,0,48
subjunctive,"Sie dürfen keine Sache haben, die einen Rausch verursachen können.","Sie dürfen keine Sache hätten, die einen Rausch verursachen können.",Indikativ -> Konjunktiv II (hätten),24,24,10,10,0,0,49
subjunctive,Alle Gefangenen und Menschen in Sicherungsverwahrung müssen für Ordnung sorgen.,Alle Gefangenen und Menschen in Sicherungsverwahrung müssten für Ordnung sorgen.,Indikativ -> Konjunktiv II (müssten),23,23,10,10,0,0,50
genitive,Wir Mitarbeiter von der JAA glauben: Sie sind eine ganz besondere Person.,Wir Mitarbeiter der JAA glauben: Sie sind eine ganz besondere Person.,Dativ/von -> Genitiv,26,25,12,11,-1,-1,51
genitive,Hier vielleicht wieder das Logo vom Kompetenzzentrum einfügen.,Hier vielleicht wieder das Logo des Kompetenzzentrums einfügen.,Dativ/von -> Genitiv,22,22,8,8,0,0,52
genitive,Mehr Infos können Sie bei Fachstellen für psycho-soziale Prozess-Begleitung erfragen: Dieses Info-Blatt ist vom Ministerium für Justiz und Gesundheit Schleswig-Holstein.,Mehr Infos können Sie bei Fachstellen für psycho-soziale Prozes-Begleitung erfragen: Dieses Info-Blatt ist des Ministeriums für Justiz und Gesundheit Schleswig-Holstein.,Dativ/von -> Genitiv,54,54,24,24,0,0,53
genitive,2 Mitglieder von der Partei FDP.,2 Mitglieder der Partei FDP.,Dativ/von -> Genitiv,10,9,6,5,-1,-1,54
genitive,Zum Beispiel Kauf und Verkauf von Häusern oder Grundstücken von der Gemeinde.,Zum Beispiel Kauf und Verkauf von Häusern oder Grundstücken der Gemeinde.,Dativ/von -> Genitiv,26,25,12,11,-1,-1,55
genitive,Die Texte vom Konzept sind nicht in Leichter Sprache.,Die Texte des Konzepts sind nicht in Leichter Sprache.,Dativ/von -> Genitiv,15,15,9,9,0,0,56
genitive,Die Internetseite vom Verkündungsportal ist nicht ganz barrierefrei.,Die Internetseite des Verkündungsportals ist nicht ganz barrierefrei.,Dativ/von -> Genitiv,23,23,8,8,0,0,57
genitive,Diese Informationen sind von der Geschäftsführerin.,Diese Informationen sind der Geschäftsführerin.,Dativ/von -> Genitiv,17,16,6,5,-1,-1,58
genitive,Sie hat sie das Programm von der Tagung vorgestellt.,Sie hat sie das Programm der Tagung vorgestellt.,Dativ/von -> Genitiv,15,14,9,8,-1,-1,59
genitive,Hier könnte ein Logo vom Ministerium oder ein Bild vom IIB Kiel eingefügt werden.,Hier könnte ein Logo des Ministeriums oder ein Bild des IIBs Kiel eingefügt werden.,Dativ/von -> Genitiv,30,30,14,14,0,0,60
genitive,Sie müssen spätestens am Ende vom LZA wieder in der JVA sein.,Sie müssen spätestens am Ende des LZAs wieder in der JVA sein.,Dativ/von -> Genitiv,20,20,12,12,0,0,61
genitive,Vollzugs-Leiterin offener Vollzug von der JVA Lüb eck.,Vollzugs-Leiterin offener Vollzug der JVA Lüb eck.,Dativ/von -> Genitiv,16,15,9,8,-1,-1,62
genitive,Einige Gefangene oder untergebrachte Personen arbeiten außerhalb von der JVA.,Einige Gefangene oder untergebrachte Personen arbeiten außerhalb der JVA.,Dativ/von -> Genitiv,29,28,10,9,-1,-1,63
genitive,Dort steht auch das Datum von der Änderung.,Dort steht auch das Datum der Änderung.,Dativ/von -> Genitiv,12,11,8,7,-1,-1,64
genitive,Das steht in Paragraf 6 von der Vereinbarung.,Das steht in Paragraf 6 der Vereinbarung.,Dativ/von -> Genitiv,13,12,8,7,-1,-1,65
genitive,Wenn Sie diese Angebote nutzen möchten: Melden Sie sich Anfang von der Woche an.,Wenn Sie diese Angebote nutzen möchten: Melden Sie sich Anfang der Woche an.,Dativ/von -> Genitiv,26,25,14,13,-1,-1,66
genitive,Zu diesem Motto gibt es für Eckernförde 7 wichtige Grund-Sätze: Eckernförde plant für die Zukunft von der Stadt.,Zu diesem Motto gibt es für Eckernförde 7 wichtige Grund-Sätze: Eckernförde plant für die Zukunft der Stadt.,Dativ/von -> Genitiv,32,31,19,18,-1,-1,67
genitive,Und das hilft bei der Entwicklung von der Stadt Eckernförde.,Und das hilft bei der Entwicklung der Stadt Eckernförde.,Dativ/von -> Genitiv,16,15,10,9,-1,-1,68
genitive,Die Termine von den Sitzungen stehen in der Zeitung für Eckernförde.,Die Termine der Sitzunge stehen in der Zeitung für Eckernförde.,Dativ/von -> Genitiv,22,21,11,10,-1,-1,69
genitive,Ausschüsse von der Rats-Versammlung.,Ausschüsse der Rats-Versammlung.,Dativ/von -> Genitiv,10,9,5,4,-1,-1,70
genitive,Gründung vom Kompetenz - Zentrum.,Gründung des Kompetenzs - Zentrum.,Dativ/von -> Genitiv,8,8,4,4,0,0,71
genitive,Hier gibt es bald auch alle älteren Ausgaben vom Gesetz- und Verordnungsblatt Schleswig-Holstein.,Hier gibt es bald auch alle älteren Ausgaben des Gesetzs- und Verordnungsblatt Schleswig-Holstein.,Dativ/von -> Genitiv,29,29,14,14,0,0,72
genitive,Das steht in Paragraf 9 von der Vereinbarung.,Das steht in Paragraf 9 der Vereinbarung.,Dativ/von -> Genitiv,13,12,8,7,-1,-1,73
genitive,Halten Sie Atteste vom Arzt bereit.,Halten Sie Atteste des Arzts bereit.,Dativ/von -> Genitiv,12,12,6,6,0,0,74
genitive,Die Finanzierung vom Projekt wurde festgelegt.,Die Finanzierung des Projekts wurde festgelegt.,Dativ/von -> Genitiv,15,15,6,6,0,0,75
genitive,Sie dürfen sich draußen nur auf dem Gelände vom offenen Vollzug aufhalten.,Sie dürfen sich draußen nur auf dem Gelände des offenens Vollzug aufhalten.,Dativ/von -> Genitiv,25,25,12,12,0,0,76
genitive,Für mehr Infos zu den Partner-Städten klicken Sie auf das Wappen von der Stadt.,Für mehr Infos zu den Partner-Städten klicken Sie auf das Wappen der Stadt.,Dativ/von -> Genitiv,22,21,15,14,-1,-1,77
genitive,Zuerst prüft die Leitung von der Abteilung oder die Leitung für den Vollzug das Anliegen.,Zuerst prüft die Leitung der Abteilung oder die Leitung für den Vollzug das Anliegen.,Dativ/von -> Genitiv,30,29,15,14,-1,-1,78
genitive,Sie müssen trotzdem etwas von der Geldstrafe merken.,Sie müssen trotzdem etwas der Geldstrafe merken.,Dativ/von -> Genitiv,15,14,8,7,-1,-1,79
genitive,Bei einigen Untersuchungs-Gefangenen gibt es keine Regeln vom Gericht.,Bei einigen Untersuchungs-Gefangenen gibt es keine Regeln des Gerichts.,Dativ/von -> Genitiv,24,24,10,10,0,0,80
genitive,Hier gibt es bald auch alle älteren Ausgaben vom Amtsblatt Schleswig - Holstein.,Hier gibt es bald auch alle älteren Ausgaben des Amtsblatts Schleswig - Holstein.,Dativ/von -> Genitiv,24,24,12,12,0,0,81
genitive,"Eine Aufgabe von der IVG ist Vermittlung zwischen , Gefangenen, Untergebrachten und Anstaltsleitung.","Eine Aufgabe der IVG ist Vermittlung zwischen , Gefangenen, Untergebrachten und Anstaltsleitung.",Dativ/von -> Genitiv,31,30,12,11,-1,-1,82
genitive,Hinweisgebendemelden etwas im LHW Plön oder an Stellen außerhalb vom LHW Plön.,Hinweisgebendemelden etwas im LHW Plön oder an Stellen außerhalb des LHWs Plön.,Dativ/von -> Genitiv,25,25,12,12,0,0,83
genitive,Sie schreiben Gute Sachen von dem Thema auf.,Sie schreiben Gute Sachen des Themas auf.,Dativ/von -> Genitiv,15,14,8,7,-1,-1,84
genitive,Vertreter von den Städten treffen sich regelmäßig.,Vertreter der Städte treffen sich regelmäßig.,Dativ/von -> Genitiv,14,13,7,6,-1,-1,85
genitive,In der Wahl-Zeit vom Jahr 2023 bis 2028 hat sie mehr Mitglieder.,In der Wahl-Zeit des Jahrs 2023 bis 2028 hat sie mehr Mitglieder.,Dativ/von -> Genitiv,16,16,13,13,0,0,86
genitive,Sie bekommen Essen von der JVA?,Sie bekommen Essen der JVA?,Dativ/von -> Genitiv,10,9,6,5,-1,-1,87
genitive,Dann gilt der Text von der Hausordnung in schwerer Sprache.,Dann gilt der Text der Hausordnung in schwerer Sprache.,Dativ/von -> Genitiv,15,14,10,9,-1,-1,88
genitive,Sie dürfen die Wände vom Haftraum nicht anmalen.,Sie dürfen die Wände des Haftraums nicht anmalen.,Dativ/von -> Genitiv,16,16,8,8,0,0,89
genitive,Dann melden Sie sich beim Personal vom AVD.,Dann melden Sie sich beim Personal des AVDs.,Dativ/von -> Genitiv,13,13,8,8,0,0,90
genitive,Das sind die Regeln für die Arbeit vom Beirat.,Das sind die Regeln für die Arbeit des Beirats.,Dativ/von -> Genitiv,16,16,9,9,0,0,91
genitive,"Gefangene können Wünsche, Vorschläge und Beschwerden an die Leitung von der JVA senden.","Gefangene können Wünsche, Vorschläge und Beschwerden an die Leitung der JVA senden.",Dativ/von -> Genitiv,26,25,13,12,-1,-1,92
genitive,Zum Beispiel zur Größe von den Geräten.,Zum Beispiel zur Größe der Geräte.,Dativ/von -> Genitiv,13,12,7,6,-1,-1,93
genitive,"In Paragraf 55, Absatz 1 Nummer 2 vom Landes-Strafvollzugs-Gesetz Schleswig-Holstein stehen Regeln für diese Art von Ausgang.","In Paragraf 55, Absatz 1 Nummer 2 des Landes-Strafvollzugs-Gesetz Schleswig-Holstein stehen Regeln für diese Art von Ausgang.",Dativ/von -> Genitiv,34,34,20,20,0,0,94
genitive,Das steht in Paragraf 4 von der Vereinbarung.,Das steht in Paragraf 4 der Vereinbarung.,Dativ/von -> Genitiv,13,12,8,7,-1,-1,95
genitive,Daniel Günther will Ideen von der Tagung kennen.,Daniel Günther will Ideen der Tagung kennen.,Dativ/von -> Genitiv,15,14,8,7,-1,-1,96
genitive,Ein Teil vom Konzept heißt Leitlinien für die Innenstadt.,Ein Teil des Konzepts heißt Leitlinien für die Innenstadt.,Dativ/von -> Genitiv,20,20,9,9,0,0,97
genitive,Eka von Kalben erzählte etwas über das Gebäude vom Landtag.,Eka von Kalben erzählte etwas über das Gebäude des Landtags.,Dativ/von -> Genitiv,20,20,10,10,0,0,98
genitive,Vielleicht Foto vom Gebäude oder der Arbeit der Bildungsfachkräfte.,Vielleicht Foto des Gebäudes oder der Arbeit der Bildungsfachkräfte.,Dativ/von -> Genitiv,23,23,9,9,0,0,99
genitive,Vielleicht ein Foto vom Gebäude (und Team) des Kompetenzzentrums.,Vielleicht ein Foto des Gebäudes (und Team) des Kompetenzzentrums.,Dativ/von -> Genitiv,22,22,9,9,0,0,100
passive,Der Beirat fördert die Gleichberechtigung der Menschen mit Behinderungen.,Die Gleichberechtigung der Menschen mit Behinderungen wird von der Beirat gefördert.,Aktiv -> Passiv (fördert -> wird ... gefördert),23,26,9,11,3,2,101
passive,Die Polizei leitet den Antrag weiter.,Der Antrag weiter wird von die Polizei geleitet.,Aktiv -> Passiv (leitet -> wird ... geleitet),15,18,6,8,3,2,102
subordination,Sie müssen Probleme dabei sofort melden. Die Maßnahmen müssen Sie persönlich betreffen.,"Sie müssen Probleme dabei sofort melden, sodass die Maßnahmen müssen Sie persönlich betreffen.",Parataxe -> Hypotaxe (sodass),29,31,12,13,2,1,103
subordination,Die Maßnahmen müssen Sie persönlich betreffen. Sport ist in immer Gruppen.,"Während die Maßnahmen müssen Sie persönlich betreffen, sport ist in immer Gruppen.",Parataxe -> Hypotaxe (während),22,24,11,12,2,1,104
subordination,Sport ist in immer Gruppen. Bitte lesen Sie diesen Text genau.,"Obwohl sport ist in immer Gruppen, bitte lesen Sie diesen Text genau.",Parataxe -> Hypotaxe (obwohl),20,22,11,12,2,1,105
subordination,Bitte lesen Sie diesen Text genau. Sie bekommen keinen Lohn für die Arbeit im Beirat.,"Bitte lesen Sie diesen Text genau, sodass sie bekommen keinen Lohn für die Arbeit im Beirat.",Parataxe -> Hypotaxe (sodass),32,34,15,16,2,1,106
subordination,Sie bekommen keinen Lohn für die Arbeit im Beirat. Dann hat sie wichtige Themen für die Tagung vorgestellt: Was steht in der UN-BRK?,"Weil sie bekommen keinen Lohn für die Arbeit im Beirat, dann hat sie wichtige Themen für die Tagung vorgestellt: Was steht in der UN-BRK.",Parataxe -> Hypotaxe (weil),42,44,24,25,2,1,107
subordination,Dann hat sie wichtige Themen für die Tagung vorgestellt: Was steht in der UN-BRK? Und viele Infos zum Newsletter.,"Während dann hat sie wichtige Themen für die Tagung vorgestellt: Was steht in der UN-BRK, und viele Infos zum Newsletter.",Parataxe -> Hypotaxe (während),33,35,20,21,2,1,108
subordination,Und viele Infos zum Newsletter. Die Hinweisgeber werden so gut wie möglich geschützt.,"Und viele Infos zum Newsletter, sodass die Hinweisgeber werden so gut wie möglich geschützt.",Parataxe -> Hypotaxe (sodass),27,29,13,14,2,1,109
subordination,Die Hinweisgeber werden so gut wie möglich geschützt. Wir Mitarbeiter von der JAA glauben: Sie sind eine ganz besondere Person.,"Die Hinweisgeber werden so gut wie möglich geschützt, sodass wir Mitarbeiter von der JAA glauben: Sie sind eine ganz besondere Person.",Parataxe -> Hypotaxe (sodass),43,45,20,21,2,1,110
subordination,Wir Mitarbeiter von der JAA glauben: Sie sind eine ganz besondere Person. Sie gehen vielleicht nicht freiwillig ins Gefängnis.,"Während wir Mitarbeiter von der JAA glauben: Sie sind eine ganz besondere Person, sie gehen vielleicht nicht freiwillig ins Gefängnis.",Parataxe -> Hypotaxe (während),43,45,19,20,2,1,111
subordination,Sie gehen vielleicht nicht freiwillig ins Gefängnis. Darum müssen Sie sich selbst kümmern.,"Obwohl sie gehen vielleicht nicht freiwillig ins Gefängnis, darum müssen Sie sich selbst kümmern.",Parataxe -> Hypotaxe (obwohl),27,29,13,14,2,1,112
subordination,Darum müssen Sie sich selbst kümmern. Manchmal gibt es vielleicht Fragen.,"Während darum müssen Sie sich selbst kümmern, manchmal gibt es vielleicht Fragen.",Parataxe -> Hypotaxe (während),20,22,11,12,2,1,113
subordination,Manchmal gibt es vielleicht Fragen. Das Personal sagt vorher nichts über Prüfungen.,"Weil manchmal gibt es vielleicht Fragen, das Personal sagt vorher nichts über Prüfungen.",Parataxe -> Hypotaxe (weil),23,25,12,13,2,1,114
subordination,Das Personal sagt vorher nichts über Prüfungen. Zum Beispiel Gefangene tun etwas gegen Personal.,"Obwohl das Personal sagt vorher nichts über Prüfungen, zum Beispiel Gefangene tun etwas gegen Personal.",Parataxe -> Hypotaxe (obwohl),30,32,14,15,2,1,115
subordination,Zum Beispiel Gefangene tun etwas gegen Personal. Verstöße gegen sexuelle Selbstbestimmung.,"Weil zum Beispiel Gefangene tun etwas gegen Personal, verstöße gegen sexuelle Selbstbestimmung.",Parataxe -> Hypotaxe (weil),30,32,11,12,2,1,116
subordination,Verstöße gegen sexuelle Selbstbestimmung. Hier vielleicht wieder das Logo vom Kompetenzzentrum einfügen.,"Weil verstöße gegen sexuelle Selbstbestimmung, hier vielleicht wieder das Logo vom Kompetenzzentrum einfügen.",Parataxe -> Hypotaxe (weil),35,37,12,13,2,1,117
subordination,Hier vielleicht wieder das Logo vom Kompetenzzentrum einfügen. Handwerker können Sachen reparieren.,"Während hier vielleicht wieder das Logo vom Kompetenzzentrum einfügen, handwerker können Sachen reparieren.",Parataxe -> Hypotaxe (während),34,36,12,13,2,1,118
subordination,Handwerker können Sachen reparieren. Mehr Infos können Sie bei Fachstellen für psycho-soziale Prozess-Begleitung erfragen: Dieses Info-Blatt ist vom Ministerium für Justiz und Gesundheit Schleswig-Holstein.,"Handwerker können Sachen reparieren, sodass mehr Infos können Sie bei Fachstellen für psycho-soziale Prozess-Begleitung erfragen: Dieses Info-Blatt ist vom Ministerium für Justiz und Gesundheit Schleswig-Holstein.",Parataxe -> Hypotaxe (sodass),66,68,28,29,2,1,119
subordination,Mehr Infos können Sie bei Fachstellen für psycho-soziale Prozess-Begleitung erfragen: Dieses Info-Blatt ist vom Ministerium für Justiz und Gesundheit Schleswig-Holstein. Das bedeutet: Menschen dürfen bei den Sitzungen zusehen.,"Obwohl mehr Infos können Sie bei Fachstellen für psycho-soziale Prozess-Begleitung erfragen: Dieses Info-Blatt ist vom Ministerium für Justiz und Gesundheit Schleswig-Holstein, das bedeutet: Menschen dürfen bei den Sitzungen zusehen.",Parataxe -> Hypotaxe (obwohl),72,74,32,33,2,1,120
subordination,Das bedeutet: Menschen dürfen bei den Sitzungen zusehen. Dort gibt es 1 besondere Fläche für Suche.,"Weil das bedeutet: Menschen dürfen bei den Sitzungen zusehen, dort gibt es 1 besondere Fläche für Suche.",Parataxe -> Hypotaxe (weil),30,32,16,17,2,1,121
subordination,Dort gibt es 1 besondere Fläche für Suche. Neue Gesetze und Verordnungen für Schleswig-Holstein haben eine Fundstelle.,"Dort gibt es 1 besondere Fläche für Suche, sodass neue Gesetze und Verordnungen für Schleswig-Holstein haben eine Fundstelle.",Parataxe -> Hypotaxe (sodass),37,39,18,19,2,1,122
subordination,Neue Gesetze und Verordnungen für Schleswig-Holstein haben eine Fundstelle. Für das genaue Alter fragen Sie das Personal.,"Neue Gesetze und Verordnungen für Schleswig-Holstein haben eine Fundstelle, sodass für das genaue Alter fragen Sie das Personal.",Parataxe -> Hypotaxe (sodass),41,43,18,19,2,1,123
subordination,Für das genaue Alter fragen Sie das Personal. Im LZA-Schein steht der Rückkehr-Tag.,"Für das genaue Alter fragen Sie das Personal, sodass im LZA-Schein steht der Rückkehr-Tag.",Parataxe -> Hypotaxe (sodass),25,27,15,16,2,1,124
subordination,Im LZA-Schein steht der Rückkehr-Tag. Das passiert dann: Sie zahlen die Geldstrafe nicht.,"Obwohl im LZA-Schein steht der Rückkehr-Tag, das passiert dann: Sie zahlen die Geldstrafe nicht.",Parataxe -> Hypotaxe (obwohl),24,26,15,16,2,1,125
subordination,Das passiert dann: Sie zahlen die Geldstrafe nicht. Die Lebenshilfewerk Plön gGmbH sagt: Wir halten uns immer an Gesetze.,"Das passiert dann: Sie zahlen die Geldstrafe nicht, sodass die Lebenshilfewerk Plön gGmbH sagt: Wir halten uns immer an Gesetze.",Parataxe -> Hypotaxe (sodass),35,37,19,20,2,1,126
subordination,Die Lebenshilfewerk Plön gGmbH sagt: Wir halten uns immer an Gesetze. Es gab auch Fischfang.,"Während die Lebenshilfewerk Plön gGmbH sagt: Wir halten uns immer an Gesetze, es gab auch Fischfang.",Parataxe -> Hypotaxe (während),26,28,15,16,2,1,127
subordination,Es gab auch Fischfang. Zum 24-Stunden-Ausgang können Sie die JVA zwischen 7.00 Uhr und 20.00 Uhr verlassen.,"Weil es gab auch Fischfang, zum 24-Stunden-Ausgang können Sie die JVA zwischen 7.00 Uhr und 20.00 Uhr verlassen.",Parataxe -> Hypotaxe (weil),27,29,21,22,2,1,128
